Candidate,Total IEs For,Total IEs Against
"Sanford, Marshall",0,0
"Trump, Donald J.",53500635,308135887
"Walsh, Joe",0,0
"Weld, William Floyd (Bill)",83908,877
"Bennet, Michael F.",176,0
"Biden, Joseph R Jr",383204094,299388312
"Bloomberg, Michael R.",311,314
"Booker, Cory A.",954411,1172
"Bullock, Steve",13923,148497
"Buttigieg, Pete",3668912,30862
"Castro, Julián",169,0
"de Blasio, Bill",500000,76608
"Delaney, John K.",0,903
"Gabbard, Tulsi",1466,877
"Gillibrand, Kirsten ",0,903
"Gravel, Maurice Robert",0,0
"Harris, Kamala D.",37840,2316
"Hickenlooper, John W.",0,0
"Inslee, Jay R",1780488,0
"Klobuchar, Amy J.",2711204,101
"Messam, Wayne Martin",0,0
"Moulton, Seth",0,0
"O’Rourke, Robert Beto",9582,34820
"Ojeda, Richard Neece II",0,0
"Patrick, Deval",2367169,0
"Ryan, Timothy J.",0,0
"Sanders, Bernard",1417958,6221201
"Sestak, Joseph A. Jr.",0,0
"Steyer, Tom",941,0
"Swalwell, Eric Michael",0,0
"Warren, Elizabeth ",14996979,18965
"Williamson, Marianne ",0,0
"Yang, Andrew",719077,296
"Hawkins, Howie",200,0
"Charles, Mark R.",0,0
"Pierce, Brock",0,0
"Jorgensen, Jo",7766,0
"Kokesh, Adam",0,0
"West, Kanye",25,0
