COUNTY,TRANSACTION_AMT
"Abbeville County, South Carolina",60
"Acadia Parish, Louisiana",1000
"Accomack County, Virginia",870
"Ada County, Idaho",57779
"Adair County, Missouri",5144
"Adair County, Oklahoma",160
"Adams County, Colorado",14570
"Adams County, Idaho",50
"Adams County, Illinois",4408
"Adams County, Indiana",147
"Adams County, Mississippi",54
"Adams County, Nebraska",491
"Adams County, Ohio",540
"Adams County, Pennsylvania",5263
"Adams County, Washington",110
"Adams County, Wisconsin",1045
"Addison County, Vermont",4285
"Aguada Municipio, Puerto Rico",137
"Aiken County, South Carolina",11667
"Aitkin County, Minnesota",795
"Alachua County, Florida",44019
"Alamance County, North Carolina",3322
"Alameda County, California",670781
"Alamosa County, Colorado",493
"Albany County, New York",177712
"Albany County, Wyoming",3750
"Albemarle County, Virginia",81175
"Alcorn County, Mississippi",1145
"Aleutians West Census Area, Alaska",175
"Alexander County, Illinois",153
"Alexander County, North Carolina",670
"Alexandria City, Virginia",10262
"Alexandria city, Virginia",81105
"Alfalfa County, Oklahoma",350
"Alger County, Michigan",293
"Allamakee County, Iowa",925
"Allegan County, Michigan",2910
"Allegany County, Maryland",5056
"Allegany County, New York",1454
"Alleghany County, North Carolina",-475
"Alleghany County, Virginia",327
"Allegheny County, Pennsylvania",129103
"Allen County, Indiana",28349
"Allen County, Kansas",28
"Allen County, Ohio",4874
"Allen Parish, Louisiana",305
"Allendale County, South Carolina",500
"Alpena County, Michigan",476
"Alpine County, California",52
"Amador County, California",2993
"Amelia County, Virginia",25
"Amherst County, Virginia",120
"Amite County, Mississippi",106
"Anchorage Municipality, Alaska",46070
"Anderson County, Kansas",75
"Anderson County, Kentucky",1230
"Anderson County, South Carolina",5648
"Anderson County, Tennessee",6172
"Anderson County, Texas",4142
"Andrews County, Texas",550
"Androscoggin County, Maine",2652
"Angelina County, Texas",5639
"Anne Arundel County, Maryland",59478
"Anoka County, Minnesota",9784
"Anson County, North Carolina",450
"Antelope County, Nebraska",50
"Antrim County, Michigan",1722
"Apache County, Arizona",1103
"Appanoose County, Iowa",1250
"Appling County, Georgia",390
"Appomattox County, Virginia",101
"Aransas County, Texas",7553
"Arapahoe County, Colorado",103467
"Archer County, Texas",153
"Archuleta County, Colorado",2939
"Arenac County, Michigan",282
"Arkansas County, Arkansas",95
"Arlington County, Virginia",215632
"Armstrong County, Pennsylvania",1740
"Armstrong County, Texas",100
"Aroostook County, Maine",2532
"Ascension Parish, Louisiana",10731
"Ashe County, North Carolina",681
"Ashland County, Ohio",1301
"Ashland County, Wisconsin",220
"Ashley County, Arkansas",202
"Ashtabula County, Ohio",1641
"Asotin County, Washington",7501
"Assumption Parish, Louisiana",604
"Atascosa County, Texas",660
"Atchison County, Kansas",4100
"Athens County, Ohio",1750
"Atlantic County, New Jersey",32850
"Atoka County, Oklahoma",62
"Audrain County, Missouri",327
"Auglaize County, Ohio",2390
"Augusta County, Virginia",785
"Austin County, Texas",1691
"Autauga County, Alabama",509
"Avery County, North Carolina",195
"Avoyelles Parish, Louisiana",10
"Baca County, Colorado",105
"Bacon County, Georgia",155
"Bailey County, Texas",650
"Baker County, Florida",493
"Baker County, Georgia",2800
"Baker County, Oregon",926
"Baldwin County, Alabama",13194
"Baldwin County, Georgia",1267
"Ballard County, Kentucky",110
"Baltimore City, Maryland",1028
"Baltimore County, Maryland",70386
"Baltimore city, Maryland",58816
"Bandera County, Texas",900
"Bannock County, Idaho",1892
"Baraga County, Michigan",110
"Barbour County, Alabama",516
"Barbour County, West Virginia",140
"Barnes County, North Dakota",50
"Barnstable County, Massachusetts",38232
"Barnwell County, South Carolina",240
"Barren County, Kentucky",1293
"Barron County, Wisconsin",5020
"Barrow County, Georgia",5922
"Barry County, Michigan",770
"Barry County, Missouri",343
"Bartholomew County, Indiana",4741
"Barton County, Kansas",918
"Barton County, Missouri",10
"Bartow County, Georgia",2122
"Bastrop County, Texas",5387
"Bates County, Missouri",20
"Bath County, Kentucky",100
"Bath County, Virginia",1138
"Baxter County, Arkansas",1305
"Bay County, Florida",28285
"Bay County, Michigan",2487
"Bayfield County, Wisconsin",2890
"Baylor County, Texas",200
"Beadle County, South Dakota",28
"Bear Lake County, Idaho",200
"Beaufort County, North Carolina",1690
"Beaufort County, South Carolina",33468
"Beauregard Parish, Louisiana",108
"Beaver County, Pennsylvania",3767
"Beaverhead County, Montana",777
"Becker County, Minnesota",3000
"Beckham County, Oklahoma",150
"Bedford County, Pennsylvania",1317
"Bedford County, Tennessee",2725
"Bedford County, Virginia",6389
"Bee County, Texas",630
"Belknap County, New Hampshire",6118
"Bell County, Texas",11978
"Belmont County, Ohio",3088
"Beltrami County, Minnesota",1731
"Ben Hill County, Georgia",4747
"Bennington County, Vermont",18157
"Benton County, Arkansas",14450
"Benton County, Indiana",312
"Benton County, Iowa",83
"Benton County, Minnesota",1145
"Benton County, Mississippi",120
"Benton County, Missouri",494
"Benton County, Oregon",18326
"Benton County, Washington",14258
"Benzie County, Michigan",1140
"Bergen County, New Jersey",133732
"Berkeley County, South Carolina",15125
"Berkeley County, West Virginia",1997
"Berks County, Pennsylvania",30490
"Berkshire County, Massachusetts",24493
"Bernalillo County, New Mexico",73736
"Berrien County, Georgia",582
"Berrien County, Michigan",14892
"Bertie County, North Carolina",60
"Bethel Census Area, Alaska",145
"Bexar County, Texas",167992
"Bibb County, Alabama",500
"Bibb County, Georgia",6940
"Bienville Parish, Louisiana",357
"Big Horn County, Wyoming",-700
"Big Stone County, Minnesota",173
"Billings County, North Dakota",350
"Bingham County, Idaho",1484
"Black Hawk County, Iowa",5921
"Blackford County, Indiana",255
"Bladen County, North Carolina",350
"Blaine County, Idaho",7225
"Blaine County, Montana",335
"Blaine County, Oklahoma",75
"Blair County, Pennsylvania",4235
"Blanco County, Texas",3798
"Bland County, Virginia",35
"Bleckley County, Georgia",100
"Bledsoe County, Tennessee",600
"Blount County, Alabama",488
"Blount County, Tennessee",4987
"Blue Earth County, Minnesota",2756
"Bolivar County, Mississippi",442
"Bollinger County, Missouri",45
"Bon Homme County, South Dakota",300
"Bond County, Illinois",605
"Bonner County, Idaho",4382
"Bonneville County, Idaho",44056
"Boone County, Arkansas",1741
"Boone County, Illinois",1030
"Boone County, Indiana",6133
"Boone County, Iowa",464
"Boone County, Kentucky",7970
"Boone County, Missouri",21250
"Boone County, West Virginia",25
"Bosque County, Texas",642
"Bossier Parish, Louisiana",8909
"Botetourt County, Virginia",1438
"Bottineau County, North Dakota",25
"Boulder County, Colorado",137612
"Boundary County, Idaho",184
"Bourbon County, Kansas",2162
"Bourbon County, Kentucky",258
"Bowie County, Texas",4643
"Bowman County, North Dakota",25
"Box Butte County, Nebraska",181
"Box Elder County, Utah",392
"Boyd County, Kentucky",709
"Boyle County, Kentucky",105
"Bracken County, Kentucky",125
"Bradford County, Florida",3745
"Bradford County, Pennsylvania",800
"Bradley County, Arkansas",65
"Bradley County, Tennessee",1664
"Branch County, Michigan",796
"Brazoria County, Texas",21452
"Brazos County, Texas",8091
"Breathitt County, Kentucky",0
"Bremer County, Iowa",1340
"Brevard County, Florida",42339
"Brewster County, Texas",6920
"Briscoe County, Texas",165
"Bristol Bay Borough, Alaska",53
"Bristol County, Massachusetts",31287
"Bristol County, Rhode Island",12468
"Bristol city, Virginia",50
"Broadwater County, Montana",575
"Bronx County, New York",32917
"Brooke County, West Virginia",60
"Brookings County, South Dakota",130
"Brooks County, Georgia",127
"Brooks County, Texas",7
"Broome County, New York",9577
"Broomfield County, Colorado",7492
"Broward County, Florida",252464
"Brown County, Indiana",1281
"Brown County, Kansas",60
"Brown County, Minnesota",260
"Brown County, Nebraska",25
"Brown County, Ohio",1085
"Brown County, South Dakota",1757
"Brown County, Texas",2607
"Brown County, Wisconsin",28789
"Brunswick County, North Carolina",10322
"Brunswick County, Virginia",75
"Bryan County, Georgia",946
"Bryan County, Oklahoma",640
"Buchanan County, Iowa",995
"Buchanan County, Missouri",3833
"Buchanan County, Virginia",20
"Buckingham County, Virginia",125
"Bucks County, Pennsylvania",82035
"Buena Vista County, Iowa",210
"Buffalo County, Nebraska",2470
"Buffalo County, Wisconsin",300
"Bullitt County, Kentucky",225
"Bulloch County, Georgia",1128
"Bullock County, Alabama",267
"Buncombe County, North Carolina",47885
"Bureau County, Illinois",1925
"Burke County, Georgia",225
"Burke County, North Carolina",1013
"Burke County, North Dakota",10
"Burleigh County, North Dakota",2533
"Burleson County, Texas",324
"Burlington County, New Jersey",24512
"Burnet County, Texas",1362
"Burnett County, Wisconsin",585
"Butler County, Iowa",100
"Butler County, Kansas",1817
"Butler County, Kentucky",20
"Butler County, Missouri",2649
"Butler County, Nebraska",25
"Butler County, Ohio",11788
