COUNTY,Contributions
"Abbeville County, South Carolina",31868.0
"Acadia Parish, Louisiana",52030.0
"Accomack County, Virginia",139421.0
"Ada County, Idaho",5564755.0
"Adair County, Iowa",13036.0
"Adair County, Kentucky",18578.0
"Adair County, Missouri",151980.0
"Adair County, Oklahoma",35158.0
"Adams County, Colorado",1282998.0
"Adams County, Idaho",13132.0
"Adams County, Illinois",422456.0
"Adams County, Indiana",96131.0
"Adams County, Iowa",30597.0
"Adams County, Mississippi",83867.0
"Adams County, Nebraska",112049.0
"Adams County, North Dakota",10329.0
"Adams County, Ohio",34588.0
"Adams County, Pennsylvania",445209.0
"Adams County, Washington",237074.0
"Adams County, Wisconsin",26440.0
"Addison County, Vermont",489685.0
"Adjuntas Municipio, Puerto Rico",30.0
"Aguada Municipio, Puerto Rico",6558.0
"Aguadilla Municipio, Puerto Rico",7971.0
"Aguas Buenas Municipio, Puerto Rico",8600.0
"Aibonito Municipio, Puerto Rico",5890.0
"Aiken County, South Carolina",1068671.0
"Aitkin County, Minnesota",33388.0
"Alachua County, Florida",3768948.0
"Alamance County, North Carolina",407838.0
"Alameda County, California",68493350.0
"Alamosa County, Colorado",74320.0
"Albany County, New York",2798431.0
"Albany County, Wyoming",317104.0
"Albemarle County, Virginia",4694058.0
"Alcona County, Michigan",25798.0
"Alcorn County, Mississippi",59298.0
"Aleutians East Borough, Alaska",1294
"Aleutians West Census Area, Alaska",20450.0
"Alexander County, Illinois",6593.0
"Alexander County, North Carolina",40838.0
"Alexandria City, Virginia",365338.0
"Alexandria city, Virginia",11236958.0
"Alfalfa County, Oklahoma",18481.0
"Alger County, Michigan",49069.0
"Allamakee County, Iowa",27015.0
"Allegan County, Michigan",928898.0
"Allegany County, Maryland",254259.0
"Allegany County, New York",360526.0
"Alleghany County, North Carolina",44232.0
"Alleghany County, Virginia",33173.0
"Allegheny County, Pennsylvania",15992108.0
"Allen County, Indiana",2034587.0
"Allen County, Kansas",32312.0
"Allen County, Kentucky",20456.0
"Allen County, Ohio",363946.0
"Allen Parish, Louisiana",25665.0
"Allendale County, South Carolina",91724.0
"Alpena County, Michigan",109895.0
"Alpine County, California",15388.0
"Amador County, California",448488.0
"Amelia County, Virginia",29896.0
"Amherst County, Virginia",71625.0
"Amite County, Mississippi",13777.0
"Anasco Municipio, Puerto Rico",2250.0
"Anchorage Municipality, Alaska",4634765.0
